gene_name	set	reference	ENSEMBL
SATB2	Neuronal	PollenEtAl2014	ENSG00000119042
NNAT	Neuronal	PollenEtAl2014	ENSG00000053438
MIR100HG	Neuronal	PollenEtAl2014	ENSG00000255248
GNG3	Neuronal	PollenEtAl2014	ENSG00000162188
linc01102	Neuronal	PollenEtAl2014	ENSG00000235597
MAPT	Neuronal	PollenEtAl2014	ENSG00000186868
GAP43	Neuronal	PollenEtAl2014	ENSG00000172020
MLLT11	Neuronal	PollenEtAl2014	ENSG00000213190
RTN1	Neuronal	PollenEtAl2014	ENSG00000139970
CXADR	Neuronal	PollenEtAl2014	ENSG00000154639
GRIA2	Neuronal	PollenEtAl2014	ENSG00000120251
MEG3	Neuronal	PollenEtAl2014	ENSG00000214548
ARPC5	Neuronal	PollenEtAl2014	ENSG00000162704
KIFAP3	Neuronal	PollenEtAl2014	ENSG00000075945
SNRPN	Neuronal	PollenEtAl2014	ENSG00000128739
BLOC1S3	Neuronal	PollenEtAl2014	ENSG00000189114
SEC11C	Neuronal	PollenEtAl2014	ENSG00000166562
SEMA3C	Neuronal	PollenEtAl2014	ENSG00000075223
FAM110B	Neuronal	PollenEtAl2014	ENSG00000169122
CAMKV	Neuronal	PollenEtAl2014	ENSG00000164076
BHLHE22	Neuronal	PollenEtAl2014	ENSG00000180828
TSPAN7	Neuronal	PollenEtAl2014	ENSG00000156298
STXBP1	Neuronal	PollenEtAl2014	ENSG00000136854
FGF12	Neuronal	PollenEtAl2014	ENSG00000114279
MRFAP1L1	Neuronal	PollenEtAl2014	ENSG00000178988
PLXNA4	Neuronal	PollenEtAl2014	ENSG00000221866
BCL11A	Neuronal	PollenEtAl2014	ENSG00000119866
PPP2R2B	Neuronal	PollenEtAl2014	ENSG00000156475
SNURF	Neuronal	PollenEtAl2014	ENSG00000273173
PHACTR3	Neuronal	PollenEtAl2014	ENSG00000087495
SHTN1	Neuronal	PollenEtAl2014	ENSG00000187164
ZNF286B	Neuronal	PollenEtAl2014	ENSG00000249459
NREP	Neuronal	PollenEtAl2014	ENSG00000134986
CDK5R1	Neuronal	PollenEtAl2014	ENSG00000176749
MN1	Neuronal	PollenEtAl2014	ENSG00000169184
ETNK1	Neuronal	PollenEtAl2014	ENSG00000139163
RBFOX2	Neuronal	PollenEtAl2014	ENSG00000100320
DLG1	Neuronal	PollenEtAl2014	ENSG00000075711
ZBTB18	Neuronal	PollenEtAl2014	ENSG00000179456
SNAP25	Neuronal	PollenEtAl2014	ENSG00000132639
MTSS1	Neuronal	PollenEtAl2014	ENSG00000170873
EIF1B	Neuronal	PollenEtAl2014	ENSG00000114784
ATP6V1G2	Neuronal	PollenEtAl2014	ENSG00000213760
SLC38A1	Neuronal	PollenEtAl2014	ENSG00000111371
CLASP2	Neuronal	PollenEtAl2014	ENSG00000163539
SAT1	Neuronal	PollenEtAl2014	ENSG00000130066
ARPP21	Neuronal	PollenEtAl2014	ENSG00000172995
DCX	Neuronal	PollenEtAl2014	ENSG00000077279
BLCAP	Neuronal	PollenEtAl2014	ENSG00000166619
ATP6V0B	Neuronal	PollenEtAl2014	ENSG00000117410
GRIA1	Neuronal	PollenEtAl2014	ENSG00000155511
CD24	Neuronal	PollenEtAl2014	ENSG00000272398
NFIB	Neuronal	PollenEtAl2014	ENSG00000147862
ATP6V0D1	Neuronal	PollenEtAl2014	ENSG00000159720
EIF2S1	Neuronal	PollenEtAl2014	ENSG00000134001
GPM6A	Neuronal	PollenEtAl2014	ENSG00000150625
VDAC3	Neuronal	PollenEtAl2014	ENSG00000078668
TAGLN3	Neuronal	PollenEtAl2014	ENSG00000144834
ATAT1	Neuronal	PollenEtAl2014	ENSG00000137343
PPP3CA	Neuronal	PollenEtAl2014	ENSG00000138814
CRMP1	Neuronal	PollenEtAl2014	ENSG00000072832
RAP1GDS1	Neuronal	PollenEtAl2014	ENSG00000138698
CELF2	Neuronal	PollenEtAl2014	ENSG00000048740
SERINC1	Neuronal	PollenEtAl2014	ENSG00000111897
WSB2	Neuronal	PollenEtAl2014	ENSG00000176871
ATP6V1B2	Neuronal	PollenEtAl2014	ENSG00000147416
RDH11	Neuronal	PollenEtAl2014	ENSG00000072042
SSU72	Neuronal	PollenEtAl2014	ENSG00000160075
BRK1	Neuronal	PollenEtAl2014	ENSG00000254999
PRKAR2B	Neuronal	PollenEtAl2014	ENSG00000005249
LIN7C	Neuronal	PollenEtAl2014	ENSG00000148943
PPFIA2	Neuronal	PollenEtAl2014	ENSG00000139220
SSR2	Neuronal	PollenEtAl2014	ENSG00000163479
NOL4L	Neuronal	PollenEtAl2014	ENSG00000197183
KIF3C	Neuronal	PollenEtAl2014	ENSG00000084731
SNCA	Neuronal	PollenEtAl2014	ENSG00000145335
UTP6	Neuronal	PollenEtAl2014	ENSG00000108651
CDH13	Neuronal	PollenEtAl2014	ENSG00000140945
TTC3	Neuronal	PollenEtAl2014	ENSG00000182670
TTC28	Neuronal	PollenEtAl2014	ENSG00000100154
CADM2	Neuronal	PollenEtAl2014	ENSG00000175161
LRRC7	Neuronal	PollenEtAl2014	ENSG00000033122
DPYSL3	Neuronal	PollenEtAl2014	ENSG00000113657
REEP5	Neuronal	PollenEtAl2014	ENSG00000129625
PIAS1	Neuronal	PollenEtAl2014	ENSG00000033800
ZFX	Neuronal	PollenEtAl2014	ENSG00000005889
YWHAB	Neuronal	PollenEtAl2014	ENSG00000166913
PKIA	Neuronal	PollenEtAl2014	ENSG00000171033
GNG2	Neuronal	PollenEtAl2014	ENSG00000186469
RASSF2	Neuronal	PollenEtAl2014	ENSG00000101265
LOC494141	Neuronal	PollenEtAl2014	ENSG00000189332
MPC1	Neuronal	PollenEtAl2014	ENSG00000060762
MLLT3	Neuronal	PollenEtAl2014	ENSG00000171843
DLG2	Neuronal	PollenEtAl2014	ENSG00000150672
ACOT7	Neuronal	PollenEtAl2014	ENSG00000097021
ZNF195	Neuronal	PollenEtAl2014	ENSG00000005801
ID2	Neuronal	PollenEtAl2014	ENSG00000115738
PWARSN	Neuronal	PollenEtAl2014	NA
AK1	Neuronal	PollenEtAl2014	ENSG00000106992
BEX1	Neuronal	PollenEtAl2014	ENSG00000133169
SPIN1	Neuronal	PollenEtAl2014	ENSG00000106723
KIDINS220	Neuronal	PollenEtAl2014	ENSG00000134313
PIP4K2B	Neuronal	PollenEtAl2014	ENSG00000276293
ST6GAL2	Neuronal	PollenEtAl2014	ENSG00000144057
ARPC3	Neuronal	PollenEtAl2014	ENSG00000111229
INA	Neuronal	PollenEtAl2014	ENSG00000148798
ADCY1	Neuronal	PollenEtAl2014	ENSG00000164742
ZNF451	Neuronal	PollenEtAl2014	ENSG00000112200
ATP6AP2	Neuronal	PollenEtAl2014	ENSG00000182220
ACVR2A	Neuronal	PollenEtAl2014	ENSG00000121989
CD200	Neuronal	PollenEtAl2014	ENSG00000091972
STRAP	Neuronal	PollenEtAl2014	ENSG00000023734
GATAD2B	Neuronal	PollenEtAl2014	ENSG00000143614
GATAD2B	Neuronal	PollenEtAl2014	ENSG00000261992
GNAZ	Neuronal	PollenEtAl2014	ENSG00000128266
BZW2	Neuronal	PollenEtAl2014	ENSG00000136261
TIMM17A	Neuronal	PollenEtAl2014	ENSG00000134375
SPTAN1	Neuronal	PollenEtAl2014	ENSG00000197694
ARPC4	Neuronal	PollenEtAl2014	ENSG00000241553
YWHAH	Neuronal	PollenEtAl2014	ENSG00000128245
BLVRA	Neuronal	PollenEtAl2014	ENSG00000106605
ATP5G3	Neuronal	PollenEtAl2014	ENSG00000154518
FARSB	Neuronal	PollenEtAl2014	ENSG00000116120
COMMD3	Neuronal	PollenEtAl2014	ENSG00000148444
MYT1L	Neuronal	PollenEtAl2014	ENSG00000186487
ATP1B1	Neuronal	PollenEtAl2014	ENSG00000143153
ABLIM1	Neuronal	PollenEtAl2014	ENSG00000099204
CCSER1	Neuronal	PollenEtAl2014	ENSG00000184305
PTPRD	Neuronal	PollenEtAl2014	ENSG00000153707
EZR	Neuronal	PollenEtAl2014	ENSG00000092820
XIST	Neuronal	PollenEtAl2014	ENSG00000229807
PSMA3-AS1	Neuronal	PollenEtAl2014	ENSG00000257621
NEUROD6	Neuronal	PollenEtAl2014	ENSG00000164600
GABRB3	Neuronal	PollenEtAl2014	ENSG00000166206
C3orf70	Neuronal	PollenEtAl2014	ENSG00000187068
SYT11	Neuronal	PollenEtAl2014	ENSG00000132718
SYT1	Neuronal	PollenEtAl2014	ENSG00000067715
LINC00657	Neuronal	PollenEtAl2014	ENSG00000260032
NCALD	Neuronal	PollenEtAl2014	ENSG00000104490
MYL12B	Neuronal	PollenEtAl2014	ENSG00000118680
FRMD6-AS1	Neuronal	PollenEtAl2014	ENSG00000273888
CACUL1	Neuronal	PollenEtAl2014	ENSG00000151893
MIAT	Neuronal	PollenEtAl2014	ENSG00000225783
ZNF286A	Neuronal	PollenEtAl2014	ENSG00000187607
NAV2	Neuronal	PollenEtAl2014	ENSG00000166833
CEP170	Neuronal	PollenEtAl2014	ENSG00000143702
ASNS	Neuronal	PollenEtAl2014	ENSG00000070669
DHX15	Neuronal	PollenEtAl2014	ENSG00000109606
KIF5C	Neuronal	PollenEtAl2014	ENSG00000168280
ZNF512	Neuronal	PollenEtAl2014	ENSG00000243943
NPTN	Neuronal	PollenEtAl2014	ENSG00000156642
PPID	Neuronal	PollenEtAl2014	ENSG00000171497
CAP1	Neuronal	PollenEtAl2014	ENSG00000131236
GUK1	Neuronal	PollenEtAl2014	ENSG00000143774
ARPC2	Neuronal	PollenEtAl2014	ENSG00000163466
TUBB2A	Neuronal	PollenEtAl2014	ENSG00000137267
CSNK1A1	Neuronal	PollenEtAl2014	ENSG00000113712
NME1	Neuronal	PollenEtAl2014	ENSG00000239672
PIP4K2A	Neuronal	PollenEtAl2014	ENSG00000150867
SRM	Neuronal	PollenEtAl2014	ENSG00000116649
LRRC40	Neuronal	PollenEtAl2014	ENSG00000066557
HIST1H1E	Neuronal	PollenEtAl2014	ENSG00000168298
SCG2	Neuronal	PollenEtAl2014	ENSG00000171951
CNR1	Neuronal	PollenEtAl2014	ENSG00000118432
SLC44A5	Neuronal	PollenEtAl2014	ENSG00000137968
AFF3	Neuronal	PollenEtAl2014	ENSG00000144218
ZNF253	Neuronal	PollenEtAl2014	ENSG00000256771
ETFB	Neuronal	PollenEtAl2014	ENSG00000105379
YWHAG	Neuronal	PollenEtAl2014	ENSG00000170027
TRIM2	Neuronal	PollenEtAl2014	ENSG00000109654
SPIRE1	Neuronal	PollenEtAl2014	ENSG00000134278
SEPT3	Neuronal	PollenEtAl2014	ENSG00000100167
ATP6V1A	Neuronal	PollenEtAl2014	ENSG00000114573
CDH11	Neuronal	PollenEtAl2014	ENSG00000140937
PAPSS1	Neuronal	PollenEtAl2014	ENSG00000138801
HMGB2	NPC	PollenEtAl2014	ENSG00000164104
PSMA6	NPC	PollenEtAl2014	ENSG00000100902
ATPIF1	NPC	PollenEtAl2014	ENSG00000130770
ACP1	NPC	PollenEtAl2014	ENSG00000143727
ACTL6A	NPC	PollenEtAl2014	ENSG00000136518
UBE2C	NPC	PollenEtAl2014	ENSG00000175063
TSPAN6	NPC	PollenEtAl2014	ENSG00000000003
PSMB3	NPC	PollenEtAl2014	ENSG00000277791
DAD1	NPC	PollenEtAl2014	ENSG00000129562
LSM5	NPC	PollenEtAl2014	ENSG00000106355
PTTG1	NPC	PollenEtAl2014	ENSG00000164611
TRIM59	NPC	PollenEtAl2014	ENSG00000213186
ZFP36L1	NPC	PollenEtAl2014	ENSG00000185650
OTX2	NPC	PollenEtAl2014	ENSG00000165588
ELP2	NPC	PollenEtAl2014	ENSG00000134759
CKS2	NPC	PollenEtAl2014	ENSG00000123975
MIF	NPC	PollenEtAl2014	ENSG00000240972
ATRAID	NPC	PollenEtAl2014	ENSG00000138085
SLMO2	NPC	PollenEtAl2014	ENSG00000101166
TPT1	NPC	PollenEtAl2014	ENSG00000133112
NUSAP1	NPC	PollenEtAl2014	ENSG00000137804
COLGALT1	NPC	PollenEtAl2014	ENSG00000130309
CD99	NPC	PollenEtAl2014	ENSG00000002586
HIGD2A	NPC	PollenEtAl2014	ENSG00000146066
RFC4	NPC	PollenEtAl2014	ENSG00000163918
BIRC5	NPC	PollenEtAl2014	ENSG00000089685
CDKN3	NPC	PollenEtAl2014	ENSG00000100526
PCNA	NPC	PollenEtAl2014	ENSG00000132646
GLO1	NPC	PollenEtAl2014	ENSG00000124767
CDC123	NPC	PollenEtAl2014	ENSG00000151465
LDHA	NPC	PollenEtAl2014	ENSG00000134333
GPC3	NPC	PollenEtAl2014	ENSG00000147257
ATOX1	NPC	PollenEtAl2014	ENSG00000177556
C19orf48	NPC	PollenEtAl2014	ENSG00000167747
NUP37	NPC	PollenEtAl2014	ENSG00000075188
CKS1B	NPC	PollenEtAl2014	ENSG00000173207
CLIC1	NPC	PollenEtAl2014	ENSG00000213719
GSTP1	NPC	PollenEtAl2014	ENSG00000084207
ECI2	NPC	PollenEtAl2014	ENSG00000198721
ENY2	NPC	PollenEtAl2014	ENSG00000120533
ENO1	NPC	PollenEtAl2014	ENSG00000074800
ESD	NPC	PollenEtAl2014	ENSG00000139684
EIF3E	NPC	PollenEtAl2014	ENSG00000104408
HACD1	NPC	PollenEtAl2014	ENSG00000165996
SLC25A3	NPC	PollenEtAl2014	ENSG00000075415
CCNB2	NPC	PollenEtAl2014	ENSG00000157456
FABP5	NPC	PollenEtAl2014	ENSG00000164687
CDCA3	NPC	PollenEtAl2014	ENSG00000111665
QARS	NPC	PollenEtAl2014	ENSG00000172053
NAE1	NPC	PollenEtAl2014	ENSG00000159593
MAD2L1	NPC	PollenEtAl2014	ENSG00000164109
EXOSC8	NPC	PollenEtAl2014	ENSG00000120699
KIF15	NPC	PollenEtAl2014	ENSG00000163808
FANCD2	NPC	PollenEtAl2014	ENSG00000144554
RAB13	NPC	PollenEtAl2014	ENSG00000143545
ANP32E	NPC	PollenEtAl2014	ENSG00000143401
NUF2	NPC	PollenEtAl2014	ENSG00000143228
RPS2	NPC	PollenEtAl2014	ENSG00000140988
CCNB1IP1	NPC	PollenEtAl2014	ENSG00000100814
LSM4	NPC	PollenEtAl2014	ENSG00000130520
ANXA2	NPC	PollenEtAl2014	ENSG00000182718
PSMA2	NPC	PollenEtAl2014	ENSG00000106588
RRM1	NPC	PollenEtAl2014	ENSG00000167325
CNIH4	NPC	PollenEtAl2014	ENSG00000143771
MEST	NPC	PollenEtAl2014	ENSG00000106484
DLK1	NPC	PollenEtAl2014	ENSG00000185559
ODC1	NPC	PollenEtAl2014	ENSG00000115758
UQCRC1	NPC	PollenEtAl2014	ENSG00000010256
TMEM106C	NPC	PollenEtAl2014	ENSG00000134291
SSBP1	NPC	PollenEtAl2014	ENSG00000106028
IFITM3	NPC	PollenEtAl2014	ENSG00000142089
HSPD1	NPC	PollenEtAl2014	ENSG00000144381
KIF23	NPC	PollenEtAl2014	ENSG00000137807
PCMT1	NPC	PollenEtAl2014	ENSG00000120265
DTYMK	NPC	PollenEtAl2014	ENSG00000168393
RPS4Y1	NPC	PollenEtAl2014	ENSG00000129824
ALDOA	NPC	PollenEtAl2014	ENSG00000149925
MRPS24	NPC	PollenEtAl2014	ENSG00000062582
NDUFB11	NPC	PollenEtAl2014	ENSG00000147123
TUBA1B	NPC	PollenEtAl2014	ENSG00000123416
TOP2A	NPC	PollenEtAl2014	ENSG00000131747
COX8A	NPC	PollenEtAl2014	ENSG00000176340
ZNFX1	NPC	PollenEtAl2014	ENSG00000124201
ATP5G2	NPC	PollenEtAl2014	ENSG00000135390
NDUFB3	NPC	PollenEtAl2014	ENSG00000119013
CDK1	NPC	PollenEtAl2014	ENSG00000170312
MYL12A	NPC	PollenEtAl2014	ENSG00000101608
UBL5	NPC	PollenEtAl2014	ENSG00000198258
CKAP2L	NPC	PollenEtAl2014	ENSG00000169607
WBP5	NPC	PollenEtAl2014	ENSG00000185222
VIM	NPC	PollenEtAl2014	ENSG00000026025
FABP7	NPC	PollenEtAl2014	ENSG00000164434
PABPC1	NPC	PollenEtAl2014	ENSG00000070756
MRPS21	NPC	PollenEtAl2014	ENSG00000266472
TLK1	NPC	PollenEtAl2014	ENSG00000198586
CCNB1	NPC	PollenEtAl2014	ENSG00000134057
B2M	NPC	PollenEtAl2014	ENSG00000166710
TMBIM6	NPC	PollenEtAl2014	ENSG00000139644
EEF1D	NPC	PollenEtAl2014	ENSG00000104529
PLK1	NPC	PollenEtAl2014	ENSG00000166851
CSRP2	NPC	PollenEtAl2014	ENSG00000175183
KIF22	NPC	PollenEtAl2014	ENSG00000079616
FRZB	NPC	PollenEtAl2014	ENSG00000162998
HMGA2	NPC	PollenEtAl2014	ENSG00000149948
AKR1B1	NPC	PollenEtAl2014	ENSG00000085662
TOMM5	NPC	PollenEtAl2014	ENSG00000175768
ASPM	NPC	PollenEtAl2014	ENSG00000066279
GMNN	NPC	PollenEtAl2014	ENSG00000112312
TMPO	NPC	PollenEtAl2014	ENSG00000120802
LIX1	NPC	PollenEtAl2014	ENSG00000145721
DLGAP5	NPC	PollenEtAl2014	ENSG00000126787
TECR	NPC	PollenEtAl2014	ENSG00000099797
NDUFV2	NPC	PollenEtAl2014	ENSG00000178127
KPNA2	NPC	PollenEtAl2014	ENSG00000182481
UQCC2	NPC	PollenEtAl2014	ENSG00000137288
EEF1B2	NPC	PollenEtAl2014	ENSG00000114942
SNRPA1	NPC	PollenEtAl2014	ENSG00000131876
PRDX6	NPC	PollenEtAl2014	ENSG00000117592
CCDC167	NPC	PollenEtAl2014	ENSG00000198937
CENPE	NPC	PollenEtAl2014	ENSG00000138778
PSMA4	NPC	PollenEtAl2014	ENSG00000041357
UBE2T	NPC	PollenEtAl2014	ENSG00000077152
CENPW	NPC	PollenEtAl2014	ENSG00000203760
HMMR	NPC	PollenEtAl2014	ENSG00000072571
UBE2D3	NPC	PollenEtAl2014	ENSG00000109332
HSPA5	NPC	PollenEtAl2014	ENSG00000044574
SNHG5	NPC	PollenEtAl2014	ENSG00000203875
SPCS1	NPC	PollenEtAl2014	ENSG00000114902
TMEM60	NPC	PollenEtAl2014	ENSG00000135211
FAM162A	NPC	PollenEtAl2014	ENSG00000114023
NDUFA6	NPC	PollenEtAl2014	ENSG00000184983
SFRP1	NPC	PollenEtAl2014	ENSG00000104332
ZCRB1	NPC	PollenEtAl2014	ENSG00000139168
MRPL51	NPC	PollenEtAl2014	ENSG00000111639
DBI	NPC	PollenEtAl2014	ENSG00000155368
TPM1	NPC	PollenEtAl2014	ENSG00000140416
KIF20B	NPC	PollenEtAl2014	ENSG00000138182
AURKB	NPC	PollenEtAl2014	ENSG00000178999
ERH	NPC	PollenEtAl2014	ENSG00000100632
PSMA1	NPC	PollenEtAl2014	ENSG00000129084
ANXA5	NPC	PollenEtAl2014	ENSG00000164111
MDK	NPC	PollenEtAl2014	ENSG00000110492
PTPRZ1	NPC	PollenEtAl2014	ENSG00000106278
C19orf53	NPC	PollenEtAl2014	ENSG00000104979
CNIH1	NPC	PollenEtAl2014	ENSG00000100528
ZIC2	NPC	PollenEtAl2014	ENSG00000043355
SRI	NPC	PollenEtAl2014	ENSG00000075142
PHPT1	NPC	PollenEtAl2014	ENSG00000054148
POLR2L	NPC	PollenEtAl2014	ENSG00000177700
RPL21	NPC	PollenEtAl2014	ENSG00000122026
PRDX3	NPC	PollenEtAl2014	ENSG00000165672
CD63	NPC	PollenEtAl2014	ENSG00000135404
PDCD4	NPC	PollenEtAl2014	ENSG00000150593
CENPF	NPC	PollenEtAl2014	ENSG00000117724
EIF3M	NPC	PollenEtAl2014	ENSG00000149100
ATP5H	NPC	PollenEtAl2014	ENSG00000167863
SLC16A1	NPC	PollenEtAl2014	ENSG00000155380
NDUFS4	NPC	PollenEtAl2014	ENSG00000164258
TPI1	NPC	PollenEtAl2014	ENSG00000111669
PSME1	NPC	PollenEtAl2014	ENSG00000092010
PSMC6	NPC	PollenEtAl2014	ENSG00000100519
HAUS1	NPC	PollenEtAl2014	ENSG00000152240
BUB3	NPC	PollenEtAl2014	ENSG00000154473
MIS18BP1	NPC	PollenEtAl2014	ENSG00000129534
IFT81	NPC	PollenEtAl2014	ENSG00000122970
BCAT1	NPC	PollenEtAl2014	ENSG00000060982
PAIP2	NPC	PollenEtAl2014	ENSG00000120727
CUTA	NPC	PollenEtAl2014	ENSG00000112514
SLC39A10	NPC	PollenEtAl2014	ENSG00000196950
OSTC	NPC	PollenEtAl2014	ENSG00000198856
SNHG16	NPC	PollenEtAl2014	ENSG00000163597
COX6B1	NPC	PollenEtAl2014	ENSG00000126267
UBE2E3	NPC	PollenEtAl2014	ENSG00000170035
TUBA1C	NPC	PollenEtAl2014	ENSG00000167553
PAICS	NPC	PollenEtAl2014	ENSG00000128050
NDC80	NPC	PollenEtAl2014	ENSG00000080986
SMS	NPC	PollenEtAl2014	ENSG00000102172
SHISA2	NPC	PollenEtAl2014	ENSG00000180730
PPP2R5C	NPC	PollenEtAl2014	ENSG00000078304
EIF4E	NPC	PollenEtAl2014	ENSG00000151247
VKORC1	NPC	PollenEtAl2014	ENSG00000167397
SEPT2	NPC	PollenEtAl2014	ENSG00000168385
CCT5	NPC	PollenEtAl2014	ENSG00000150753
DYNLL1	NPC	PollenEtAl2014	ENSG00000088986
HSBP1	NPC	PollenEtAl2014	ENSG00000230989
KNSTRN	NPC	PollenEtAl2014	ENSG00000128944
EFNA5	NPC	PollenEtAl2014	ENSG00000184349
FAM96A	NPC	PollenEtAl2014	ENSG00000166797
PBK	NPC	PollenEtAl2014	ENSG00000168078
NUDCD2	NPC	PollenEtAl2014	ENSG00000170584
CKAP2	NPC	PollenEtAl2014	ENSG00000136108
SAE1	NPC	PollenEtAl2014	ENSG00000142230
PGAM1	NPC	PollenEtAl2014	ENSG00000171314
TPX2	NPC	PollenEtAl2014	ENSG00000088325
SMC4	NPC	PollenEtAl2014	ENSG00000113810
IDI1	NPC	PollenEtAl2014	ENSG00000067064
PCNP	NPC	PollenEtAl2014	ENSG00000081154
SPARC	NPC	PollenEtAl2014	ENSG00000113140
RPS15A	NPC	PollenEtAl2014	ENSG00000134419
LSM3	NPC	PollenEtAl2014	ENSG00000170860
MRPL13	NPC	PollenEtAl2014	ENSG00000172172
FDPS	NPC	PollenEtAl2014	ENSG00000160752
PSMA3	NPC	PollenEtAl2014	ENSG00000100567
NCAPG	NPC	PollenEtAl2014	ENSG00000109805
MND1	NPC	PollenEtAl2014	ENSG00000121211
CDC20	NPC	PollenEtAl2014	ENSG00000117399
CCNG1	NPC	PollenEtAl2014	ENSG00000113328
PDIA6	NPC	PollenEtAl2014	ENSG00000143870
TXNIP	NPC	PollenEtAl2014	ENSG00000265972
GNG5	NPC	PollenEtAl2014	ENSG00000174021
TUBB4B	NPC	PollenEtAl2014	ENSG00000188229
LAMTOR5	NPC	PollenEtAl2014	ENSG00000134248
CALU	NPC	PollenEtAl2014	ENSG00000128595
TCTEX1D2	NPC	PollenEtAl2014	ENSG00000213123
SOX9	NPC	PollenEtAl2014	ENSG00000125398
WDR54	NPC	PollenEtAl2014	ENSG00000005448
DEPDC1B	NPC	PollenEtAl2014	ENSG00000035499
TMEM258	NPC	PollenEtAl2014	ENSG00000134825
RPS27L	NPC	PollenEtAl2014	ENSG00000185088
SCD	NPC	PollenEtAl2014	ENSG00000099194
BANF1	NPC	PollenEtAl2014	ENSG00000175334
FOS	RadialGlia	PollenEtAl2014	ENSG00000170345
AKAP12	RadialGlia	PollenEtAl2014	ENSG00000131016
EGR1	RadialGlia	PollenEtAl2014	ENSG00000120738
DKK3	RadialGlia	PollenEtAl2014	ENSG00000050165
SLC1A3	RadialGlia	PollenEtAl2014	ENSG00000079215
PMP2	RadialGlia	PollenEtAl2014	ENSG00000147588
TFAP2C	RadialGlia	PollenEtAl2014	ENSG00000087510
SGCE	RadialGlia	PollenEtAl2014	ENSG00000127990
TAGLN2	RadialGlia	PollenEtAl2014	ENSG00000158710
DOK5	RadialGlia	PollenEtAl2014	ENSG00000101134
NFIA	RadialGlia	PollenEtAl2014	ENSG00000162599
SLITRK2	RadialGlia	PollenEtAl2014	ENSG00000185985
HOPX	RadialGlia	PollenEtAl2014	ENSG00000171476
HIST1H1C	RadialGlia	PollenEtAl2014	ENSG00000187837
CLU	RadialGlia	PollenEtAl2014	ENSG00000120885
TSPAN3	RadialGlia	PollenEtAl2014	ENSG00000140391
PTN	RadialGlia	PollenEtAl2014	ENSG00000105894
ATP1B2	RadialGlia	PollenEtAl2014	ENSG00000129244
HEPN1	RadialGlia	PollenEtAl2014	ENSG00000221932
STAM2	RadialGlia	PollenEtAl2014	ENSG00000115145
PEA15	RadialGlia	PollenEtAl2014	ENSG00000162734
ADK	RadialGlia	PollenEtAl2014	ENSG00000156110
